XL2 Broadband Logging:		KU100\2026-04-14_SLM_003_123_Log.txt                                           
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-17501-E0, FW4.33
	Mic Sensitivity:	8.6 mV/Pa
	                	(User calibrated 2026-04-13  13:51)
	Time Zone:      	UTC+01:00 (Europe/Berlin)

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	40 - 140 dB

# Time
	Start:          	2026-04-14, 10:12:12
	End:            	2026-04-14, 10:12:44

# Broadband LOG Results
	Date        	Time      	Timer     	LASmax_dt	LASmin_dt	LAFmax_dt	LAFmin_dt	LAeq_dt 	LAeq    	Prev_LAeq	LAeq5"  	LAeq5"max	LAeq10' 	LAeq10'max	LAeq15' 	LAeq15'max	LAeq60' 	LAeq60'max	LAPKmax_dt	LCSmax_dt	LCSmin_dt	LCFmax_dt	LCFmin_dt	LCeq_dt 	LCeq    	Prev_LCeq	LCeq5"  	LCeq5"max	LCeq10' 	LCeq10'max	LCeq15' 	LCeq15'max	LCeq60' 	LCeq60'max	LCPKmax_dt	LZSmax_dt	LZSmin_dt	LZFmax_dt	LZFmin_dt	LZeq_dt 	LZeq    	Prev_LZeq	LZPKmax_dt	Low(eq/peak)	Overload	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]    	[dB]     	[dB]    	[dB]      	[dB]    	[dB]      	[dB]    	[dB]      	[dB]      	[dB]     	[dB]     	[dB]     	[dB]     	[dB]    	[dB]    	[dB]     	[dB]      	            	        	        
	2026-04-14  	10:12:22  	00:00:10  	66.6     	66.4     	67.0     	66.2     	66.6    	66.5    	-.-      	66.5    	66.5     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	79.0      	72.6     	72.2     	73.2     	71.2     	72.1    	72.3    	-.-      	72.3    	72.4     	72.3    	-.-       	72.3    	-.-       	72.3    	-.-       	84.4      	73.1     	72.8     	73.7     	71.7     	72.7    	72.8    	-.-      	85.4      	---/---     	        	        
	2026-04-14  	10:12:23  	00:00:11  	66.6     	66.5     	66.9     	66.2     	66.6    	66.5    	-.-      	66.5    	66.5     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.9      	72.5     	72.1     	73.4     	70.8     	72.4    	72.3    	-.-      	72.3    	72.4     	72.3    	-.-       	72.3    	-.-       	72.3    	-.-       	84.6      	73.0     	72.6     	74.0     	71.2     	72.9    	72.9    	-.-      	85.5      	---/---     	        	        
	2026-04-14  	10:12:24  	00:00:12  	66.6     	66.5     	66.9     	66.2     	66.6    	66.5    	-.-      	66.6    	66.6     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.6      	72.8     	72.3     	73.6     	71.7     	72.9    	72.4    	-.-      	72.4    	72.4     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.6      	73.3     	72.8     	74.3     	72.2     	73.5    	72.9    	-.-      	84.9      	---/---     	        	        
	2026-04-14  	10:12:25  	00:00:13  	66.7     	66.6     	67.0     	66.3     	66.6    	66.5    	-.-      	66.6    	66.6     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.8      	72.8     	72.4     	73.5     	71.7     	72.5    	72.4    	-.-      	72.5    	72.5     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.4      	73.3     	72.9     	74.2     	72.2     	73.0    	72.9    	-.-      	84.3      	---/---     	        	        
	2026-04-14  	10:12:26  	00:00:14  	66.6     	66.5     	66.9     	66.2     	66.6    	66.5    	-.-      	66.6    	66.6     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.6      	72.7     	72.4     	73.2     	71.9     	72.3    	72.4    	-.-      	72.5    	72.5     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.4      	73.2     	73.0     	73.9     	72.4     	72.9    	72.9    	-.-      	85.3      	---/---     	        	        
	2026-04-14  	10:12:27  	00:00:15  	66.7     	66.6     	67.2     	66.2     	66.6    	66.6    	-.-      	66.6    	66.6     	66.6    	-.-       	66.6    	-.-       	66.6    	-.-       	78.8      	72.7     	72.3     	73.9     	71.4     	72.6    	72.4    	-.-      	72.6    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.7      	73.2     	72.8     	74.5     	71.9     	73.1    	72.9    	-.-      	85.8      	---/---     	        	        
	2026-04-14  	10:12:28  	00:00:16  	66.6     	66.5     	66.8     	66.2     	66.5    	66.5    	-.-      	66.6    	66.6     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.5      	72.7     	72.3     	73.5     	71.6     	72.2    	72.4    	-.-      	72.5    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.0      	73.2     	72.8     	74.0     	72.1     	72.7    	72.9    	-.-      	84.5      	---/---     	        	        
	2026-04-14  	10:12:29  	00:00:17  	66.5     	66.4     	66.8     	66.0     	66.4    	66.5    	-.-      	66.5    	66.6     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.3      	72.5     	72.2     	73.1     	71.4     	72.3    	72.4    	-.-      	72.4    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	83.9      	73.0     	72.7     	73.7     	71.9     	72.8    	72.9    	-.-      	84.3      	---/---     	        	        
	2026-04-14  	10:12:30  	00:00:18  	66.6     	66.5     	66.8     	66.3     	66.6    	66.5    	-.-      	66.5    	66.6     	66.5    	-.-       	66.5    	-.-       	66.5    	-.-       	78.3      	72.5     	72.1     	73.7     	71.3     	72.4    	72.4    	-.-      	72.4    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	85.3      	73.0     	72.6     	74.2     	71.7     	72.9    	72.9    	-.-      	85.1      	---/---     	        	        
	2026-04-14  	10:12:31  	00:00:19  	66.6     	66.5     	66.9     	66.3     	66.7    	66.6    	-.-      	66.6    	66.6     	66.6    	-.-       	66.6    	-.-       	66.6    	-.-       	79.4      	72.6     	72.4     	73.5     	71.7     	72.4    	72.4    	-.-      	72.4    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	83.4      	73.1     	72.8     	74.1     	72.1     	72.9    	72.9    	-.-      	84.3      	---/---     	        	        
	2026-04-14  	10:12:32  	00:00:20  	66.7     	66.6     	67.0     	66.2     	66.6    	66.6    	-.-      	66.6    	66.6     	66.6    	-.-       	66.6    	-.-       	66.6    	-.-       	79.2      	72.6     	72.3     	73.4     	71.5     	72.4    	72.4    	-.-      	72.4    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.2      	73.1     	72.8     	73.9     	71.9     	72.9    	72.9    	-.-      	84.5      	---/---     	        	        
	2026-04-14  	10:12:33  	00:00:21  	66.7     	66.6     	67.1     	66.5     	66.8    	66.6    	-.-      	66.6    	66.6     	66.6    	-.-       	66.6    	-.-       	66.6    	-.-       	79.0      	72.7     	72.2     	73.8     	71.5     	72.7    	72.4    	-.-      	72.5    	72.6     	72.4    	-.-       	72.4    	-.-       	72.4    	-.-       	84.2      	73.2     	72.7     	74.2     	72.1     	73.2    	72.9    	-.-      	84.7      	---/---     	        	        
